None,,b234,b234,b247,b247,b248,b248,b261,b261,b262,b262,b263,b263,b264,b264,b277,b277,b278,b278
None,,prec,rec,prec,rec,prec,rec,prec,rec,prec,rec,prec,rec,prec,rec,prec,rec,prec,rec
Muestra,Entr.,,,,,,,,,,,,,,,,,,
Peq,b234,1.0,1.0,0.999944733061,0.981364678899,1.01232289235,0.874783039921,0.999663328003,0.977771331182,0.998062794693,0.894235762506,1.0025602731,0.920422190906,0.984776691199,0.978122794637,0.973943887348,0.876294761764,0.972191179146,0.883355176933
Peq,b247,1.00301659125,1.0218487395,1.0,1.0,1.00097497563,0.895389507154,1.00612190578,0.964240874215,0.990857016964,0.912763596004,0.991704374057,0.931145122626,0.979544066762,0.995475113122,0.954495005549,0.895201951748,0.969656992084,0.914285714286
Peq,b248,0.977209116353,1.12646370023,0.999099261394,1.11834016393,1.0,1.0,0.991744139285,1.0692671548,0.96625778593,1.02618826683,0.995218579235,1.06100005139,0.975611545091,1.10035729298,0.941927846829,1.01745108408,0.949886042233,1.0123043753
Peq,b261,1.01428571429,1.01352985639,0.990559732665,1.04789186508,1.0018404908,0.873723723724,1.0,1.0,0.98319649699,0.958505540581,0.991057797165,0.966830870279,0.992075078206,1.03485958486,0.966129715981,0.89107965767,0.976066252588,0.906986286578
Peq,b262,1.02490421456,1.03466520708,1.02336283965,1.07243773946,1.04166666667,0.954954954955,1.02541735085,1.04983871701,1.0,1.0,1.01573913283,1.02360105214,1.009585219,1.07390215149,0.976409700909,0.993802637852,0.981067714442,1.00841869315
Peq,b263,1.01544907044,1.05804311774,1.02149341014,1.04771066542,1.0051869772,0.949021782977,1.00198787721,1.04445165477,0.978408668402,0.995658499953,1.0,1.0,0.997818003409,1.06440154994,0.968807190207,0.943462411445,0.970525357298,0.955477713473
Peq,b264,1.00530613542,1.04018410338,1.00520446097,1.02091078067,1.02273709691,0.882949864363,1.01288612533,0.994813171312,0.998327828526,0.94101143298,1.01083032491,0.978056426332,1.0,1.0,0.992145175991,0.924674078769,0.988572215338,0.944187340364
Peq,b277,1.02562445173,1.11607697083,1.03961114793,1.08601024209,1.05229416613,0.982938245508,1.03179391682,1.0397906684,1.00803702882,0.994993148519,1.03507250469,1.01847603369,1.03268544382,1.08018192236,1.0,1.0,1.0021214907,1.0171144808
Peq,b278,1.00513110406,1.06763925729,1.02574674201,1.07837367374,1.04261715296,0.927378306689,1.03313881521,1.00793659114,1.01241992167,0.967444071868,1.03506573003,0.971745258309,1.02600563319,1.04978575801,0.996891578249,0.967613587747,1.0,1.0
Med,b234,1.0,1.0,1.03468845231,1.06894329897,1.00869845361,0.906937865701,1.03117685144,1.05252434701,0.992619038068,1.00077805874,0.995422680412,0.973208803283,0.987247040855,1.06582077716,0.962993862106,0.9577652145,0.958508685214,0.989690721649
Med,b247,0.986942083638,0.981595092025,1.0,1.0,0.983791132181,0.896700381363,0.995543465679,0.959092121535,0.980516679448,0.90751244357,0.947795317203,0.91205261842,0.964712731181,0.974044360547,0.92458476732,0.903791241412,0.911577788265,0.926839447435
Med,b248,0.976723223754,1.17102206736,1.03048780488,1.15625,1.0,1.0,0.996937039138,1.11288923166,0.987223049711,1.06845375058,0.986552278313,1.04813059102,0.969870875179,1.11069418386,0.94296692282,1.04175564797,0.949059613212,1.037497926
Med,b261,0.98449649843,0.959891598916,1.0083320709,1.02845528455,1.00773187324,0.811645792134,1.0,1.0,0.974210475172,0.935312164442,0.998068690891,0.932380151388,0.991038003403,0.996810506567,0.952386652701,0.870158480387,0.984346559884,0.909518278856
Med,b262,1.02741935484,0.997311827957,1.0351998377,1.04851310484,1.02848101266,0.89527027027,1.02354380064,1.04405202091,1.0,1.0,0.992579418619,1.00088482152,1.005195119,1.05210918114,0.968425369054,0.966125315891,0.961720430108,1.00021944262
Med,b263,1.01158344579,1.07624831309,1.02787388051,1.09642796896,1.02771913266,0.936626910311,1.02130636766,1.08730857243,0.996295312085,1.00720596848,1.0,1.0,1.01340999052,1.08452714627,0.972761900199,0.940353364802,0.969992210044,1.00742699239
Med,b264,1.01455858808,1.025991273,1.03132380657,1.06822709163,1.03044233323,0.862280607301,1.01988376768,1.04650174008,1.0030502988,0.961587611817,0.999832089267,0.974159787184,1.0,1.0,0.987800211583,0.959480052142,0.989038321851,0.966799468792
Med,b277,1.03140504322,1.09459021704,1.06564184115,1.07419217687,1.04086747481,0.940430226145,1.04847279366,1.04025167379,1.05293113261,0.974842767296,1.02478134111,0.979719787602,1.03181645329,1.07064364207,1.0,1.0,0.995958474093,1.00134203341
Med,b278,1.03638535897,1.06744868035,1.06976292266,1.11139112903,1.04323264307,0.920424823651,1.04662487557,1.08367623706,1.03436904504,1.00450948929,1.04599041327,0.981090100111,1.04781718586,1.06942251297,1.01275989324,0.998249929051,1.0,1.0
Grd,b234,1.0,1.0,0.96,1.11176470588,0.971830985915,0.92146263911,0.958115183246,1.07221576378,0.964646464646,0.890344062153,0.955555555556,0.999078001106,0.953781512605,1.07850678733,0.924528301887,0.836812144213,0.94425087108,0.910924369748
Grd,b247,1.0113805047,0.90780141844,1.0,1.0,0.998214194602,0.82192831129,1.00343642612,1.01185770751,0.992907801418,0.899237254115,0.990244355663,0.93483625692,0.980963045913,1.02127659574,0.945888242656,0.828316501618,0.961738851018,0.886187098953
Grd,b248,1.00341667961,1.1703163017,1.01505159829,1.19844890511,1.0,1.0,1.01408561847,1.15928565246,1.00688216893,1.03952623606,1.01315183797,1.10230418964,0.997789017779,1.20494104436,0.949807564698,0.940899458441,0.969511892348,1.01047718357
Grd,b261,1.00184162063,0.75436288696,1.00875478113,0.93914019337,0.981819898947,0.711487730825,1.0,1.0,1.00169788438,0.887904374718,1.00177010138,0.889502762431,0.984947820749,0.976661000142,0.957926051849,0.789075031189,0.969544444663,0.84945064582
Grd,b262,1.02689383272,0.785714285714,1.02665809034,1.015625,1.0154928432,0.763513513514,1.03130360206,1.09683794466,1.0,1.0,1.0326645407,0.992163009404,1.0191837938,1.05288461538,0.987171240709,0.864055299539,1.00495452694,0.91156462585
Grd,b263,0.988082340195,0.903346001938,0.991878276961,1.04523669797,0.997728305316,0.823034301908,0.992392859833,1.08328230251,0.991347186257,1.02669265066,1.0,1.0,0.979562481271,1.08963825689,0.965076705587,0.88340797473,0.988732394366,0.927118265146
Grd,b264,0.989105691057,0.869417989418,1.01948717949,1.02555555556,0.994583333333,0.774534534535,1.01602763385,1.04685111989,0.998409785933,0.924444444444,1.00333333333,0.934587251829,1.0,1.0,0.96962962963,0.814746543779,0.975516014235,0.839546485261
Grd,b277,1.03360323887,0.980341880342,1.03829309377,1.16498397436,1.02729528536,0.902286902287,1.05567360816,1.18759501368,1.04122193596,1.07607643928,1.03673616104,1.09363395225,1.01981860934,1.17702169625,1.0,1.0,1.01507381507,1.07496947497
Grd,b278,1.00972198533,0.979020979021,1.00539460539,1.09222027972,0.987921169739,0.875165375165,1.01294450231,1.12142403051,0.992040217847,1.00857632933,0.997500237319,1.0295832694,0.995496029394,1.12187331899,0.940877304514,0.959282652831,1.0,1.0
